"","LocationIdentifier","LocationName","Latitude","Longitude","LocationType"
"1","158","NE 158th Ave Bridge (Main Channel - Columbia Slough)",45.556023,-122.500344,"Surface Water Station"
"2","21B","NE 21st Ave Bridge (Main Channel - Columbia Slough)",45.581267,-122.644016,"Surface Water Station"
"3","92B","NE 92nd Ave Bridge (Main Channel - Columbia Slough)",45.568502,-122.567516,"Surface Water Station"
"4","CRD","Columbia River Downstream of Outfall 001",45.62467,-122.694289,"Surface Water Station"
"5","CRU","Columbia River Upstream of Outfall 001",45.621308,-122.689468,"Surface Water Station"
"6","FC-8","Fanno Creek at 4916 SW 56th Ave (Main Channel)",45.488242,-122.734742,"Surface Water Station"
"7","P0006","Tributary to Arnold Creek near SW Lancaster and Arnold Rd",45.446247,-122.699083,"Surface Water Station"
"8","P0012","Tributary to Stevens Creek downstream of SW Custer St",45.468749,-122.679456,"Surface Water Station"
"9","P0016","Kelley Creek near SE Foster and Richey Rd",45.466678,-122.481767,"Surface Water Station"
"10","P0017","Elrod Slough downstream of Columbia River Correctional Institution",45.58847,-122.639862,"Surface Water Station"
"11","P0058","Woods Creek downstream of SW 45th Ave",45.461833,-122.725478,"Surface Water Station"
"12","P0060","Veteran's Creek at SE 101st Ave South of Mt. Scott Blvd",45.464298,-122.559904,"Surface Water Station"
"13","P0080","Upper Columbia Slough downstream of NE 185th Ave",45.549291,-122.477987,"Surface Water Station"
"14","P0122","Golf Creek near NW Skyline Blvd and W Burnside Rd",45.519533,-122.738069,"Surface Water Station"
"15","P0124","Johnson Creek off SE Barbara Welch Rd near SE Foster Rd",45.475513,-122.515558,"Surface Water Station"
"16","P0129","Upper Columbia Slough Between 148th and 158th Ave",45.557323,-122.508168,"Surface Water Station"
"17","P0144","Nettle Creek East from Andrews Rd on Iron Mountain Trail",45.429243,-122.676827,"Surface Water Station"
"18","P0170","Sylvan Creek near SW Scholls Ferry CT",45.500101,-122.743522,"Surface Water Station"
"19","P0188","Johnson Creek downstream of SE 110th Dr",45.473873,-122.550013,"Surface Water Station"
"20","P0208","Tryon Creek off North Creek Trail South of SW Boones Ferry Rd",45.444609,-122.683366,"Surface Water Station"
"21","P0234","Tributary to Fanno Creek at 4241 SW Tunnel Wood St",45.495618,-122.721207,"Surface Water Station"
"22","P0250","Balch Creek upstream of Lower Macleay Park",45.532306,-122.716662,"Surface Water Station"
"23","P0272","Johnson Creek upstream of SE 174th Ave",45.486639,-122.481896,"Surface Water Station"
"24","P0273","Whitaker Slough upstream of NE 63rd Ave",45.571916,-122.597087,"Surface Water Station"
"25","P0298","Cedar Mill Creek upstream of NW Mill Pond Rd at culvert",45.535848,-122.783382,"Surface Water Station"
"26","P0314","Fanno Creek at SW 35th Ave",45.483092,-122.71261,"Surface Water Station"
"27","P0316","Veteran's Creek downstream of Lincoln Memorial Cemetery Pond",45.460071,-122.552166,"Surface Water Station"
"28","P0329","Lower Columbia Slough upstream of CBWTP Pedestrian Bridge",45.594387,-122.705182,"Surface Water Station"
"29","P0337","Lower Columbia Slough downstream of Vancouver Bridge",45.586579,-122.670517,"Surface Water Station"
